no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
28,408074,Norodine vet,Trimetoprim | Sulfadiazin,Oralpasta,58 mg per 1 g | 288.3 mg per 1 g,15 mg/kg,0.043,1,0.043,,40,1300,1,10,1.72,559,,g,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
408,137448,Norodine vet,Trimetoprim | Sulfadiazin,Oralpasta,58 mg per 1 g | 288.3 mg per 1 g,15 mg/kg,0.043,1,0.043,,40,1300,1,10,1.72,559,,g,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
184,137448,Norodine vet,Trimetoprim | Sulfadiazin,Oralpasta,58 mg per 1 g | 288.3 mg per 1 g,15 mg/kg,0.043,1,0.043,,40,1300,1,10,1.72,559,,g,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
103,298132,Orbenin extra vet,Kloksacillin,Intramammarie DCT,1 g per 1 sprøyte,,,,1,,1,4,1,1,1,4,,sprøyte,https://medicines.health.europa.eu/veterinary/no/600000058841
75,298132,Orbenin extra vet,Kloksacillin,Intramammarie DCT,1 g per 1 sprøyte,,,,1,,1,4,1,1,1,4,,sprøyte,https://medicines.health.europa.eu/veterinary/no/600000058841
124,298104,Orbenin extra vet,Kloksacillin,Intramammarie DCT,1 g= 12 ml,,12,,,,1,4,1,1,12,48,,ml,https://medicines.health.europa.eu/veterinary/no/600000058841
1,298104,Orbenin extra vet,Kloksacillin,Intramammarie DCT,1 g=12 ml,,12,,,,1,4,1,1,12,48,,ml,https://medicines.health.europa.eu/veterinary/no/600000058841
81,244250,Orbenin extra vet,Kloksacillin,Intramammarie DCT,600 mg per 1 sprøyte,,6,,,,1,4,1,1,6,24,,g,https://medicines.health.europa.eu/veterinary/no/600000058841
51,244250,Orbenin extra vet,Kloksacillin,Intramammarie DCT,600 mg per 1 sprøyte,,6,,,,1,4,1,1,6,24,,g,https://medicines.health.europa.eu/veterinary/no/600000058841
10,244250,Orbenin extra vet,Kloksacillin,Intramammarie DCT,600 mg per 1 sprøyte,,6,,,,1,4,1,1,6,24,,g,https://medicines.health.europa.eu/veterinary/no/600000058841
3349,298153,Orbenin vet,Kloksacillin,Intramammarie DCT,500 mg per 1 sprøyte,,,,1,,1,4,1,1,1,4,,sprøyte,https://medicines.health.europa.eu/veterinary/no/600000058841
1466,298153,Orbenin vet,Kloksacillin,Intramammarie DCT,500 mg per 1 sprøyte,,,,1,,1,4,1,1,1,4,,sprøyte,https://medicines.health.europa.eu/veterinary/no/600000058841
1,456244,Oxolinsyre vet,Oksolinsyre,Medisinpellet,5 g per 1 kg,Til fisk,0,0,#DIV/0!,,40,1300,1,10,#DIV/0!,#DIV/0!,,kg,
499,449819,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,"3 g= 5 mill ie, 1 gram=1 mill ie",20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
37,449819,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,3 g,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
28,440701,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,6 g = 10 mill ie,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
26,440701,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,6 g,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
11,440693,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,1.2 g =2 mill ie,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,440693,Penicillin Actavis,Benzylpenicillin,Injeksjon_pulver,1.2 g,20.000 ie/kg,0.012,1,0.012,,40,1300,1,10,0.48,156,,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
6,272666,Peni-Kel LA 15+15 vet,Benzylpenicillinprokain | Benzylpenicillinbenzatintetrahydrat,Injeksjon,150000 IU per 1 ml | 150000 IU per 1 ml,,1,25,0.04,0.06,40,1300,1,2,1.6,156,312,ml,https://products.kela.health/assets/2024_product-fiche_export_Penikel-1515-LA.pdf
1,37995,Penomax,Pivmecillinam,Tablett,400 mg,IKKE MRL,0,0,#DIV/0!,,40,1300,1,10,#DIV/0!,#DIV/0!,,stk,
